dur_qualtrics_sec,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q9_3_TEXT,Q9_5_TEXT,rep_avail,Q10,Q11,Q12,Q13,Q14,Q15
474,Reviewer3,Journal of Water Resources Planning and Management,10.1061/(ASCE)WR.1943-5452.0000822,"Scruggs, C.E.; Thomson, B.M. (2017) Opportunities and challenges for direct potable water reuse in Arid Inland communities. Journal of Water Resources Planning and Management. 143, NA.",Not applicable - dataless paper/review paper,,,The paper summarized the challenges of direct portable reuse of water in inland communities,,,,,,,5,,,
999,Reviewer2,Journal of Water Resources Planning and Management,10.1061/(ASCE)WR.1943-5452.0000823,"Fletcher, S.M.; Miotti, M.; Swaminathan, J.; Klemun, M.M.; Strzepek, K.; Siddiqi, A. (2017) Water supply infrastructure planning decision-making framework to classify multiple uncertainties and evaluate flexible design. Journal of Water Resources Planning and Management. 143, NA.",Not specified where they got the data/where data is,,,"None of the input data, systems model, or code used to generate figures is available. The Supplemental Material has some further descriptions and more results.",,,,,,,16,,,
503,Reviewer5,Journal of Water Resources Planning and Management,10.1061/(ASCE)WR.1943-5452.0000826,"Vieira, J.; da ConceiÃ§Ã£o Cunha, M. (2017) Closure to ""systemic approach for the capacity expansion of multisource water-supply systems under uncertainty"" by JoÃ£o Vieira and Maria Cunha. Journal of Water Resources Planning and Management. 143, NA.",Not applicable - dataless paper/review paper,,,3,,,,,,,3,,,
1677,Reviewer3,Journal of Water Resources Planning and Management,10.1061/(ASCE)WR.1943-5452.0000832,"Brazil, L.; Grigg, N.; Kummerow, C.; Waskom, R. (2017) Water and climate: Charting the path to a sustainable future. Journal of Water Resources Planning and Management. 143, NA.",Not applicable - dataless paper/review paper,,,The paper summarizes the proceedings and declarations from 2016 Global Water and Climate Initiative.,,,,,,,5,,,
470,Reviewer3,Journal of Water Resources Planning and Management,10.1061/(ASCE)WR.1943-5452.0000846,"Creaco, E.; Walski, T. (2017) Economic analysis of pressure control for leakage and pipe burst reduction. Journal of Water Resources Planning and Management. 143, NA.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Code/Model/Software,Input data","Software name was mentioned, no link provided. Software is not available for free.",,,,,,,5,,,
431,Reviewer5,Journal of Water Resources Planning and Management,10.1061/(ASCE)WR.1943-5452.0000847,"Rosenberg, D.E.; Babbar-Sebens, M.; Root, E.; Herman, J.; Mirchi, A.; Giacomoni, M.; Kasprzyk, J.; Madani, K.; Ford, D.; Basdekas, L. (2017) More integrated formal education and practice in water resources systems analysis. Journal of Water Resources Planning and Management. 143, NA.",Not applicable - dataless paper/review paper,,,,,,,,,,5,,,
65043,Reviewer6,Journal of Water Resources Planning and Management,10.1061/(ASCE)WR.1943-5452.0000848,"Zafari, M.; Tabesh, M.; Nazif, S. (2017) Minimizing the adverse effects of contaminant propagation in water distribution networks considering the pressure-driven analysis method. Journal of Water Resources Planning and Management. 143, NA.","Some or all applicable (available, third party request, author request)",Data available  only in article figures/tables/text,,"tudy, a combination of hydraulic simulation based on pressure driven analysis and particle swarm optimization is used to minimize the negative effects of contaminated water on public health as an immediate response after the contaminant entrance into water is detected",,,,,,,5,,,
591,Reviewer5,Journal of the American Water Resources Association (JAWRA),10.1111/1752-1688.12455,"Christensen, S.D.; Swain, N.R.; Jones, N.L.; Nelson, E.J.; Snow, A.D.; Dolder, H.G. (2017) A Comprehensive Python Toolkit for Accessing High-Throughput Computing to Support Large Hydrologic Modeling Tasks. Journal of the American Water Resources Association. 53, 333-343.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Code/Model/Software,Input data",,,,,,,,7,,,
385,Reviewer1,Journal of the American Water Resources Association (JAWRA),10.1111/1752-1688.12482,"Bieger, K.; Arnold, J.G.; Rathjens, H.; White, M.J.; Bosch, D.D.; Allen, P.M.; Volk, M.; Srinivasan, R. (2017) Introduction to SWAT+, A Completely Restructured Version of the Soil and Water Assessment Tool. Journal of the American Water Resources Association. 53, 115-130.","Some or all applicable (available, third party request, author request)","Data available  only in article figures/tables/text,Third Party Request",,The authors report the sources of data but do it provide access to the data they used in their model,,,,,,,10,,,
90,Reviewer1,Journal of the American Water Resources Association (JAWRA),10.1111/1752-1688.12486,"Merwade, V.; Baffaut, C.; Bieger, K.; Boithias, L.; Rathjens, H. (2017) Featured Series Introduction: SWAT Applications for Emerging Hydrologic and Water Quality Challenges. Journal of the American Water Resources Association. 53, 67-68.",Not applicable - dataless paper/review paper,,,intro to many other articles,,,,,,,3,,,
185,Reviewer5,Journal of the American Water Resources Association (JAWRA),10.1111/1752-1688.12488,"Alvarez-Olguin, G.; Escalante-Sandoval, C. (2017) Modes of Variability of Annual and Seasonal Rainfall in Mexico. Journal of the American Water Resources Association. 53, 144-157.",Not specified where they got the data/where data is,,,,,,,,,,5,,,
566,Reviewer1,Journal of the American Water Resources Association (JAWRA),10.1111/1752-1688.12489,"Beck, M.W.; Murphy, R.R. (2017) Numerical and Qualitative Contrasts of Two Statistical Models for Water Quality Change in Tidal Waters. Journal of the American Water Resources Association. 53, 197-219.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Directions to run,Code/Model/Software,Input data,Hardware/Software requirements",,Yes,,,avail,No- Terminate,,,,,installing the required software and reading directions seems that it might take me a full day 
449,Reviewer3,Journal of the American Water Resources Association (JAWRA),10.1111/1752-1688.12489,"Beck, M.W.; Murphy, R.R. (2017) Numerical and Qualitative Contrasts of Two Statistical Models for Water Quality Change in Tidal Waters. Journal of the American Water Resources Association. 53, 197-219.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc),Data available  only in article figures/tables/text",Code/Model/Software,Functions/package details are provided for one of the package used in the study.,,,,repro,,,120,,,
179,Reviewer2,Journal of the American Water Resources Association (JAWRA),10.1111/1752-1688.12495,"Patterson, L.; Phelan, J.; Goudreau, C.; Dykes, R. (2017) Flow-Biology Relationships Based on Fish Habitat Guilds in North Carolina. Journal of the American Water Resources Association. 53, 56-66.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Input data,Common file format /instructions to open","Some fish occurenace data provided as supplemental material. One link to a data source is too general to know where the actual data is (deq.nc.gov/). Another source is (U.S. Potential Natural Vegetation) is fine. No data, model, or code provided for WaterFALL or other modelling or analysis work done",,,,,,,15,,,
1283,Reviewer2,Journal of the American Water Resources Association (JAWRA),10.1111/1752-1688.12496,"Eddy, M.C.; Moreda, F.G.; Dykes, R.M.; Bergenroth, B.; Parks, A.; Rineer, J. (2017) The Watershed Flow and Allocation Model: An NHDPlus-Based Watershed Modeling Approach for Multiple Scales and Conditions. Journal of the American Water Resources Association. 53, 6-29.",Not specified where they got the data/where data is,,,"No input data, model code, scripts, or results presented either for the general software or the North Carolina case study",,,,,,,16,,,
269,Reviewer4,Journal of the American Water Resources Association (JAWRA),10.1111/1752-1688.12497,"Mittelstet, A.R.; Storm, D.E.; Fox, G.A.; Phelan, J.; Cuffney, T.; Patterson, L.; Eddy, M.; Dykes, R.; Pearsall, S.; Goudreau, C.; Mead, J.; Tarver, F. (2017) Fish and Invertebrate Flow-Biology Relationships to Support the Determination of Ecological Flows for North Carolina. Journal of the American Water Resources Association. 53, 42-55.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)",Input data,Data housed on NCDENR website,,,,,,,5,,,
273,Reviewer1,Journal of the American Water Resources Association (JAWRA),10.1111/1752-1688.12498,"Eddy, M.C.; Phelan, J.; Patterson, L.; Allen, J.; Pearsall, S. (2017) Evaluating Flow Metric-Based Stream Classification Systems to Support the Determination of Ecological Flows in North Carolina. Journal of the American Water Resources Association. 53, 30-41.","Some or all applicable (available, third party request, author request)",Data available  only in article figures/tables/text,,The authors mention the sources of data but dont provide them or the model software to rerun it ,,,,,,,12,,,
492,Reviewer1,Journal of the American Water Resources Association (JAWRA),10.1111/1752-1688.12510,"Dziubanski, D.J.; Franz, K.J.; Helmers, M.J. (2017) Effects of Spatial Distribution of Prairie Vegetation in an Agricultural Landscape on Curve Number Values. Journal of the American Water Resources Association. 53, 365-381.","Some or all applicable (available, third party request, author request)",Data available  only in article figures/tables/text,,They describe the sites they collected data into tables from but its not clear where that data reside. ,,,,,,,10,,,
153,Reviewer2,Journal of the American Water Resources Association (JAWRA),10.1111/1752-1688.12516,"Tobin, K.J.; Bennett, M.E. (2017) Constraining SWAT Calibration with Remotely Sensed Evapotranspiration Data. Journal of the American Water Resources Association. 53, 593-604.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)",Input data,Links to some general web sites where some model input data can be found. No model/code files or other materials.,,,,,,,15,,,
360,Reviewer5,Journal of the American Water Resources Association (JAWRA),10.1111/1752-1688.12524,"Pfannerstill, M.; Bieger, K.; Guse, B.; Bosch, D.D.; Fohrer, N.; Arnold, J.G. (2017) How to Constrain Multi-Objective Calibrations of the SWAT Model Using Water Balance Components. Journal of the American Water Resources Association. 53, 532-546.",Not specified where they got the data/where data is,,,,,,,,,,2,,,
290,Reviewer5,Journal of the American Water Resources Association (JAWRA),10.1111/1752-1688.12536,"Peters, R.J.; Liermann, M.; McHenry, M.L.; Bakke, P.; Pess, G.R. (2017) Changes in Streambed Composition in Salmonid Spawning Habitat of the Elwha River during Dam Removal. Journal of the American Water Resources Association. 53, 871-885.",Not specified where they got the data/where data is,,,,,,,,,,3,,,
504,Reviewer1,Journal of the American Water Resources Association (JAWRA),10.1111/1752-1688.12537,"Alam, M.J.; Goodall, J.L.; Bowes, B.D.; Girvetz, E.H. (2017) The Impact of Projected Climate Change Scenarios on Nitrogen Yield at a Regional Scale for the Contiguous United States. Journal of the American Water Resources Association. 53, 854-870.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)",Code/Model/Software,,,,,,,,,,,"The generic code/model ""SPARROW"" is referenced to the USGS but the data is all over the article from different references    "
194,Reviewer3,Journal of the American Water Resources Association (JAWRA),10.1111/1752-1688.12538,"Milly, P.C.D.; Dunne, K.A. (2017) A Hydrologic Drying Bias in Water-Resource Impact Analyses of Anthropogenic Climate Change. Journal of the American Water Resources Association. 53, 822-838.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)",Input data,Some data Sources are mentioned,,,,,,,10,,,
145,Reviewer6,Journal of the American Water Resources Association (JAWRA),10.1111/1752-1688.12541,"Krider, L.; Magner, J.; Hansen, B.; Wilson, B.; Kramer, G.; Peterson, J.; Nieber, J. (2017) Improvements in Fluvial Stability Associated with Two-Stage Ditch Construction in Mower County, Minnesota. Journal of the American Water Resources Association. 53, 886-902.",Not specified where they got the data/where data is,,,Didn't see any data / model.,,,,,,,3,,,No Replication
381,Reviewer1,Journal of the American Water Resources Association (JAWRA),10.1111/1752-1688.12549,"Wigington, Jr., P.J. (2017) Water Commentaries and Reviews. Journal of the American Water Resources Association. 53, 513.",Not applicable - dataless paper/review paper,,,editorial paper,,,,,,,3,,,
360,Reviewer6,Journal of the American Water Resources Association (JAWRA),10.1111/1752-1688.12552,"White, M.; Haglund, L.; Gloe, M.; Bieger, K.; Namphong, B.; Gambone, M.; Hardy, E.; Gao, J.; Yen, H.; Arnold, J. (2017) Distribution of Selected Soil and Water Conservation Practices in the U.S. as Identified with Google Earth. Journal of the American Water Resources Association. 53, 1229-1240.","Some or all applicable (available, third party request, author request)",Data available  only in article figures/tables/text,,Used Google Earth to randomly select agricultural lands for assessment of water quality.,,,,,,,,,,
518,Reviewer6,Journal of the American Water Resources Association (JAWRA),10.1111/1752-1688.12559,"Sparkman, S.A.; Hogan, D.M.; Hopkins, K.G.; Loperfido, J.V. (2017) Modeling Watershed-Scale Impacts of Stormwater Management with Traditional versus Low Impact Development Design. Journal of the American Water Resources Association. 53, 1081-1094.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Code/Model/Software,Input data",Looks like the model is in a java script.  Not familiar with the coding language.  Don't see any directions on how to run it.,,,,,,,10,,,No Replicaiton
187,Reviewer5,Journal of the American Water Resources Association (JAWRA),10.1111/1752-1688.12560,"Bauwe, A.; Tiedemann, S.; Kahle, P.; Lennartz, B. (2017) Does the Temporal Resolution of Precipitation Input Influence the Simulated Hydrological Components Employing the SWAT Model?. Journal of the American Water Resources Association. 53, 997-1007.",Not specified where they got the data/where data is,,,,,,,,,,5,,,
162,Reviewer4,Journal of the American Water Resources Association (JAWRA),10.1111/1752-1688.12561,"Dickson, K.E.; Dzombak, D.A. (2017) Inventory of Interbasin Transfers in the United States. Journal of the American Water Resources Association. 53, 1121-1132.",Not specified where they got the data/where data is,,,,,,,,,,5,,,"Almost a data-less paper (surveys), but there is a density map that implies analysis/data"
66,Reviewer5,Journal of the American Water Resources Association (JAWRA),10.1111/1752-1688.12563,"Ahams, I.C.; Paterson, W.; Garcia, S.; Rushforth, R.; Ruddell, B.L.; Mejia, A. (2017) Water Footprint of 65 Mid- to Large-Sized U.S. Cities and Their Metropolitan Areas. Journal of the American Water Resources Association. 53, 1147-1163.",Not specified where they got the data/where data is,,,,,,,,,,5,,,
216,Reviewer6,Journal of the American Water Resources Association (JAWRA),10.1111/1752-1688.12570,"Ikenberry, C.D.; Crumpton, W.G.; Arnold, J.G.; Soupir, M.L.; Gassman, P.W. (2017) Evaluation of Existing and Modified Wetland Equations in the SWAT Model. Journal of the American Water Resources Association. 53, 1267-1280.",Not specified where they got the data/where data is,,,incorporate new equations for wetland hydrology and nutrient removal in Soil and Water Assessment Tool (SWAT),,,,,,,,,,
384,Reviewer4,Journal of the American Water Resources Association (JAWRA),10.1111/1752-1688.12572,"Gassman, P.W.; Valcu-Lisman, A.M.; Kling, C.L.; Mickelson, S.K.; Panagopoulos, Y.; Cibin, R.; Chaubey, I.; Wolter, C.F.; Schilling, K.E.; McMillan, M.; Liebens, J.; Metcalf, C. (2017) Evaluating the BANCS Streambank Erosion Framework on the Northern Gulf of Mexico Coastal Plain. Journal of the American Water Resources Association. 53, 1393-1408.",Not specified where they got the data/where data is,,,,,,,,,,10,,,
420,Reviewer4,Journal of the American Water Resources Association (JAWRA),10.1111/1752-1688.12575,"Zhao, T.; Minsker, B.; Salas, F.; Maidment, D.; Diev, V.; Spoelstra, J.; Dhingra, P. (2017) Statistical and Hybrid Methods Implemented in a Web Application for Predicting Reservoir Inflows during Flood Events. Journal of the American Water Resources Association. NA, .","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Code/Model/Software,Input data,Hardware/Software requirements,Common file format /instructions to open",Pseudocode in appendix. Working model on Microsoft Azure online. No explanation how to run and doesn't appear to have open code.,,,,,,,10,,,
483,Reviewer6,Journal of the American Water Resources Association (JAWRA),10.1111/1752-1688.12582,"Dudley, R.W.; Hodgkins, G.A.; Dickinson, J.E. (2017) Forecasting the Probability of Future Groundwater Levels Declining Below Specified Low Thresholds in the Conterminous U.S.. Journal of the American Water Resources Association. 53, 1424-1436.",Not specified where they got the data/where data is,,,ogistic regression approach for forecasting the probability of future groundwater levels,,,,,,,,,,
1247,Reviewer6,Journal of the American Water Resources Association (JAWRA),10.1111/1752-1688.12588,"Hanson, L.; Habicht, S.; Daggupati, P.; Srinivasan, R.; Faeth, P. (2017) Modeling Changes to Streamflow, Sediment, and Nutrient Loading from Land Use Changes Due to Potential Natural Gas Development. Journal of the American Water Resources Association. 53, 1293-1312.",Not specified where they got the data/where data is,,,"Uses the Soil and Water Assessment Tool (SWAT) model.  Does not specify where data is, how to obtain model.",,,,,,,,,,
206,Reviewer4,Journal of the American Water Resources Association (JAWRA),10.1111/1752-1688.12598,"Shen, Y.; Goodall, J.L.; Chase, S.B.; Keane, T.D.; Sass, C.K. (2017) Channel Evolution Models as Predictors of Sediment Yield. Journal of the American Water Resources Association. 53, 1513-1529.",Not specified where they got the data/where data is,,,,,,,,,,5,,,
140,Reviewer1,Journal of the American Water Resources Association (JAWRA),10.1111/1752-1688.12604,"Schilling, K.E.; Streeter, M.T. (2017) Groundwater Nutrient Concentrations and Mass Loading Rates at Iowa Golf Courses. Journal of the American Water Resources Association. NA, .","Some or all applicable (available, third party request, author request)",Data available  only in article figures/tables/text,,input data used in the model seems to be summarized in tables and figures ,,,,,,,5,,,
901,Reviewer3,Journal of the American Water Resources Association (JAWRA),10.1111/1752-1688.12608,"Souffront Alcantara, M.A.; Kesler, C.; Stealey, M.J.; Nelson, E.J.; Ames, D.P.; Jones, N.L. (2017) Cyberinfrastructure and Web Apps for Managing and Disseminating the National Water Model. Journal of the American Water Resources Association. NA, .",Not applicable - dataless paper/review paper,,,,,,,,,,10,,,
105,Reviewer4,Hydrology and Earth System Sciences (HESS),10.5194/hess-21-1077-2017,"Muthusamy, M.; Schellart, A.; Tait, S.; Heuvelink, G.B.M. (2017) Geostatistical upscaling of rain gauge data to support uncertainty analysis of lumped urban hydrological models. Hydrology and Earth System Sciences. 21, 1077-1091.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Input data,Materials linked by unique and persistent identifiers",Input data uploaded to Zenodo,,,,,,,5,,,
388,Reviewer6,Hydrology and Earth System Sciences (HESS),10.5194/hess-21-1189-2017,"Robinson, E.L.; Blyth, E.M.; Clark, D.B.; Finch, J.; Rudd, A.C. (2017) Trends in atmospheric evaporative demand in Great Britain using high-resolution meteorological data. Hydrology and Earth System Sciences. 21, 1189-1224.","Some or all applicable (available, third party request, author request)","Data available  only in article figures/tables/text,Author Request",,Dataset has been withdrawn.,,,,,,,7,,,No replicationn
111,Reviewer1,Hydrology and Earth System Sciences (HESS),10.5194/hess-21-1251-2017,"Liang, X.; Zhan, H.; Zhang, Y.-K.; Liu, J. (2017) On the coupled unsaturated&ndash;saturated flow process induced by vertical, horizontal, and slant wells in unconfined aquifers. Hydrology and Earth System Sciences. 21, 1251-1262.","Some or all applicable (available, third party request, author request)",Author Request,,The computer program codes and data used in this study can be accessed by contacting the corresponding author directly,,,,,,,5,,,
467,Reviewer6,Hydrology and Earth System Sciences (HESS),10.5194/hess-21-1397-2017,"Ionita, M.; Tallaksen, L.M.; Kingston, D.G.; Stagge, J.H.; Laaha, G.; Van Lanen, H.A.J.; Scholz, P.; Chelcea, S.M.; Haslinger, K. (2017) The European 2015 drought from a climatological perspective. Hydrology and Earth System Sciences. 21, 1397-1419.","Some or all applicable (available, third party request, author request)","Data available  only in article figures/tables/text,Third Party Request",,Perspective of 2015 drought.  Provided figures.  Data available in third-party requests.,,,,,,,8,,,Could not replicate.
2239,Reviewer3,Hydrology and Earth System Sciences (HESS),10.5194/hess-21-1455-2017,"Guimberteau, M.; Ciais, P.; Pablo Boisier, J.; Paula Dutra Aguiar, A.; Biemans, H.; De Deurwaerder, H.; Galbraith, D.; Kruijt, B.; Langerwisch, F.; Poveda, G.; Rammig, A.; Andres Rodriguez, D.; Tejada, G.; Thonicke, K.; Von Randow, C.; Randow, R.; Zhang, K.; Verbeeck, H. (2017) Impacts of future deforestation and climate change on the hydrology of the Amazon Basin: A multi-model analysis with a new set of land-cover change scenarios. Hydrology and Earth System Sciences. 21, 1455-1475.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc),Author Request","Directions to run,Code/Model/Software","Source Code is available upon request from authors, Data source is mentioned but no information/link is provided",,,,,,,,,,
208,Reviewer4,Hydrology and Earth System Sciences (HESS),10.5194/hess-21-1515-2017,"Ning, T.; Li, Z.; Liu, W. (2017) Vegetation dynamics and climate seasonality jointly control the interannual catchment water balance in the Loess Plateau under the Budyko framework. Hydrology and Earth System Sciences. 21, 1515-1526.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)",Input data,Climate data from China Met and NASA,,,,,,,5,,,
226,Reviewer6,Hydrology and Earth System Sciences (HESS),10.5194/hess-21-1547-2017,"Levent Kavvas, M.; Ercan, A.; Polsinelli, J. (2017) Governing equations of transient soil water flow and soil water flux in multi-dimensional fractional anisotropic media and fractional time. Hydrology and Earth System Sciences. 21, 1547-1557.",Not specified where they got the data/where data is,,,"n this study, dimensionally consistent governing equations  of  continuity  and  motion  for  transient  soil  water  flow  and  soil  water  flux  in  fractional  time  and  in  fractional  multiple  space  dimensions  in  anisotropic  media  are developed.  Functions given in.  Not clear where data is stored.",,,,,,,4,,,No replication work.
680,Reviewer2,Hydrology and Earth System Sciences (HESS),10.5194/hess-21-1875-2017,"Andreasen, M.; Jensen, K.H.; Desilets, D.; Zreda, M.; Bogena, H.R.; Looms, M.C. (2017) Cosmic-ray neutron transport at a forest field site: The sensitivity to various environmental conditions with focus on biomass and canopy interception. Hydrology and Earth System Sciences. 21, 1875-1894.","Some or all applicable (available, third party request, author request)",Author Request,,Data availability statement - data available by request from lead author. No mention of code or models.,,,,,,,9,,,
628,Reviewer6,Hydrology and Earth System Sciences (HESS),10.5194/hess-21-2035-2017,"Broder, T.; Knorr, K.-H.; Biester, H. (2017) Changes in dissolved organic matter quality in a peatland and forest headwater stream as a function of seasonality and hydrologic conditions. Hydrology and Earth System Sciences. 21, 2035-2051.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Input data,Stated data persistence policy","Objective of this study was to elucidate  controls  on  temporal  variability  in DOM  concentration  and  quality  in  stream  water  draining a bog and a forested peaty riparian zone, particularly con- sidering drought and storm flow events.  Field results.  Given by csv files.",,,,,,,12,,,Might work.  Field results.  Given by csv files.  Might be able to reproduce their figures on own.
204,Reviewer4,Hydrology and Earth System Sciences (HESS),10.5194/hess-21-2107-2017,"Guo, D.; Westra, S.; Maier, H.R. (2017) Sensitivity of potential evapotranspiration to changes in climate variables for different Australian climatic zones. Hydrology and Earth System Sciences. 21, 2107-2126.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Input data,Common file format /instructions to open",Data available on Climate Data Online website,,,,,,,5,,,
676,Reviewer2,Hydrology and Earth System Sciences (HESS),10.5194/hess-21-2203-2017,"Yuan, S.; Quiring, S.M. (2017) Evaluation of soil moisture in CMIP5 simulations over the contiguous United States using in situ and satellite observations. Hydrology and Earth System Sciences. 21, 2203-2218.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)",Input data,Data availability - links to large websites. Difficult to know what options to exactly select. No code/model/software or directions,,,,,,,12,,,
165,Reviewer4,Hydrology and Earth System Sciences (HESS),10.5194/hess-21-2219-2017,"Elshorbagy, A.; Bharath, R.; Lakhanpal, A.; Ceola, S.; Montanari, A.; Lindenschmidt, K.-E. (2017) Topography-and nightlight-based national flood risk assessment in Canada. Hydrology and Earth System Sciences. 21, 2219-2232.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Input data,Common file format /instructions to open",,,,,,,,5,,,
470,Reviewer1,Hydrology and Earth System Sciences (HESS),10.5194/hess-21-23-2017,"Penna, D.; Engel, M.; Bertoldi, G.; Comiti, F. (2017) Towards a tracer-based conceptualization of meltwater dynamics and streamflow response in a glacierized catchment. Hydrology and Earth System Sciences. 21, 23-41.","Some or all applicable (available, third party request, author request)","Third Party Request,Author Request",,Hydrometeorological data from the Mazia Valley are available from the LTESR Mazia website (http://lter.eurac.edu/) upon request trough the DEIMS (Drupal Ecological Information System) meta-database (https://data.lter-europe. net/deims/site/LTER_EU_IT_097/). Tracer data used in this study are freely available by contacting the authors.,,,,,,,5,,,
482,Reviewer2,Hydrology and Earth System Sciences (HESS),10.5194/hess-21-2649-2017,"Switanek, B.M.; Troch, A.P.; Castro, L.C.; Leuprecht, A.; Chang, H.-I.; Mukherjee, R.; Demaria, M.C.E. (2017) Scaled distribution mapping: A bias correction method that preserves raw climate model projected changes. Hydrology and Earth System Sciences. 21, 2649-2666.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc),Author Request","Directions to run,Code/Model/Software,Input data,Hardware/Software requirements,Metadata to describe the code","Input data links to a mega-data website (https://esgf-node.llnl.gov/projects/esgf-llnl/) unclear which data to use. Link to reference code repository with license, code, etc., but must request actual code form authors",No,,,,,,20,,,
422,Reviewer2,Hydrology and Earth System Sciences (HESS),10.5194/hess-21-3001-2017,"Laaha, G.; Gauster, T.; Tallaksen, L.M.; Vidal, J.-P.; Stahl, K.; Prudhomme, C.; Heudorfer, B.; Vlnas, R.; Ionita, M.; Van Lanen, H.A.J.; Adler, M.-J.; Caillouet, L.; Delus, C.; Fendekova, M.; Gailliez, S.; Hannaford, J.; Kingston, D.; Van Loon, A.F.; Mediero, L.; Osuch, M.; Romanowicz, R.; Sauquet, E.; Stagge, J.H.; Wong, W.K. (2017) The European 2015 drought from a hydrological perspective. Hydrology and Earth System Sciences. 21, 3001-3024.",Not specified where they got the data/where data is,,,Data availability statement says Data is not publically available. No model or code.,,,,,,,10,,,
339,Reviewer6,Hydrology and Earth System Sciences (HESS),10.5194/hess-21-3041-2017,"Barik, B.; Ghosh, S.; Saheer Sahana, A.; Pathak, A.; Sekhar, M. (2017) Water-food-energy nexus with changing agricultural scenarios in India during recent decades. Hydrology and Earth System Sciences. 21, 3041-3060.","Some or all applicable (available, third party request, author request)",Data available  only in article figures/tables/text,,article summarises changing patterns of the water-food-energy nexus in India during recent decades. Results in paper.,,,,,,,5,,,Did not work.
797,Reviewer2,Hydrology and Earth System Sciences (HESS),10.5194/hess-21-311-2017,"Liu, C.; Sun, G.; McNulty, S.G.; Noormets, A.; Fang, Y. (2017) Environmental controls on seasonal ecosystem evapotranspiration/potential evapotranspiration ratio as determined by the global eddy flux measurements. Hydrology and Earth System Sciences. 21, 311-322.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)",Input data,Data available from public websites - but hard to know what data to download. No code/software available to undertake analysis or generate results.,,,,,,,13,,,
1766,Reviewer5,Hydrology and Earth System Sciences (HESS),10.5194/hess-21-3125-2017,"LÃ³pez, P.L.; Sutanudjaja, E.H.; Schellekens, J.; Sterk, G.; Bierkens, M.F.P. (2017) Calibration of a large-scale hydrological model using satellite-based soil moisture and evapotranspiration products. Hydrology and Earth System Sciences. 21, 3125-3144.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Directions to run,Code/Model/Software,Input data",,No,,,repro,,,15,,,I started with the examples provided with the code. Windows defender prevented the file from running. I scanned the downloaded documents and it contained some untrusted files - viruses :) 
